56.59,56.5,49.94,49.6,66.25,65.8,72.76,71.5,70.52,66.02,56.19,56.67,72.44,24.91,50.09,-2.562,59.62,56.1,4.316,0.794,267.1,215.2,8.4,3.8,41.2,36.3,75.3,79.4,5.3,47.3,6.1,110.3,34.8,43.1,50,48,-1.108,-0.435,9.8,20,0,113.3,110.3,134.5,96.9,5.9,6.9,50,0,100,80,56,56,57,54.99,60.61,59.15,58.06,106.4,95.72,-32.07
56.5,56.5,49.86,49.6,66.21,65.6,72.55,71.4,70.44,65.9,56.11,56.63,70.63,23.55,50.55,-3.473,59.87,56.34,4.704,1.166,267.2,216.2,8.5,3.6,41.3,36.4,75,78.9,5.3,47.3,6,110.3,34.8,42.5,51,49,6.121,2.465,9.675,20,0,113.3,110.5,134.5,97.4,5.8,6.7,50,0,100,80,56,56,57,54.99,60.7,59.02,57.98,99.1,108.4,-30.55
56.42,56.3,49.86,49.8,66.08,65.4,72.47,71.4,70.35,65.81,56.03,56.51,71.58,23.71,50.91,-3.039,59.2,55.66,4.34,0.7983,269,216.4,8.6,3.3,41,36.1,74.7,78.4,5.3,47.3,6.1,110.1,35.6,42.3,50,48,0.4254,0.169,9.8,20,0,113.1,110.3,134.5,97.4,6,6.5,50,0,100,80,56,56,52,54.95,60.74,58.94,57.9,98.38,100,-25.14
56.34,56.1,49.82,49.6,66,65.4,72.27,71.1,70.23,65.73,55.99,56.43,69.83,22.68,50.18,-3.023,58.81,55.64,3.969,0.798,267.6,216.3,8.2,3.6,41.6,36.7,74.7,78.4,4.7,47.5,6,109.8,35.4,41.7,50,48,4.438,1.808,9.8,20,0,113.1,110.3,133.5,95.8,5.7,6.3,50,0,100,80,56,56,52,54.95,60.78,58.82,57.78,93.41,91.49,-29.13
56.3,56.1,49.82,49.8,65.88,65.3,72.14,71.1,70.15,65.61,55.91,56.39,69.77,22.2,50.59,-3.02,58.07,54.55,4.311,0.7923,267.4,214.9,8.3,3.6,41.5,36.6,74.7,78.4,5.2,47.7,6.2,110.1,35.1,41.8,50,48,2.083,0.8492,9.8,20,0,113.1,110.5,132,94.6,5.8,6.3,50,0,100,80,56,56,52,54.95,60.82,58.82,57.78,90.81,99.36,-20.92
56.22,56.1,49.82,49.8,65.8,65.4,72.02,70.9,70.07,65.57,55.87,56.35,69.41,21.77,50.2,-2.568,57.58,54.42,4.33,1.165,267.7,215.9,8.2,3.8,41.6,36.7,74.7,78.4,4.9,47.5,5.9,109.8,35.4,41.7,50,48,1.691,0.6929,9.8,20,0,113.3,110.3,133,95.6,5.5,6.3,50,0,100,80,56,56,52,54.95,60.98,58.74,57.74,86.64,103.9,-22.49
56.18,56.1,49.82,49.8,65.76,65.3,71.86,71.1,69.99,65.49,55.82,56.31,67.84,20.8,50.06,-3.016,56.86,53.72,4.302,1.157,267,214.5,8.2,3.6,41.6,36.7,74.7,78.4,5,47.7,5.9,110.1,35.4,41.7,50,48,4.642,1.946,9.8,20,0,113.1,110.3,133.5,96.1,6,6.5,50,0,100,80,56,56,52,54.95,61.06,58.66,57.7,81.66,103.2,-19.51
56.14,56.3,49.82,49.8,65.67,65.3,71.77,70.9,69.94,65.44,55.78,56.31,68.09,20.42,50.24,-2.569,56.57,53.42,4.675,1.525,267.9,214.8,8.4,3.5,41.6,36.7,74.4,78,5.2,47.7,5.9,109.8,35.4,41.4,50,48,2.762,1.154,9.8,20,0,112.9,110.3,133,95.1,5.8,6.3,50,0,100,80,56,56,52,54.95,61.23,58.61,57.7,78.08,112.2,-16.96
56.14,56.1,49.77,49.8,65.63,65.1,71.69,70.9,69.86,65.4,55.74,56.27,67.74,20.45,49.86,-2.573,57.55,54,4.725,1.171,268.4,217.1,8.2,3.8,41.8,36.7,74.7,78.4,5.5,47.7,5.9,109.8,35.1,41.7,50,48,7.405,3.109,9.8,20,0,113.1,110.1,134.5,96.5,5.6,6.3,50,0,100,80,56,56,48,54.95,61.31,58.61,57.66,77.19,113.4,-22.24
56.09,56.3,49.82,49.8,65.59,65.1,71.61,70.8,69.82,65.36,55.74,56.22,67.27,19.99,49.86,-2.573,56.06,52.91,4.296,1.155,268.3,214.2,7.8,3.6,42,37.1,74.4,78,5.2,47.5,5.5,110.1,35.7,41.3,49,47,3.046,1.288,9.926,20,0,113.1,110.1,133.5,95.1,5.5,6.5,50,0,100,80,56,56,48,54.95,61.39,58.53,57.61,74.5,103.1,-16.46
56.05,56.1,49.77,50,65.51,65.1,71.53,70.6,69.78,65.32,55.74,56.18,67.32,19.55,49.89,-2.117,56.3,53.51,3.949,1.161,268.5,215.2,8,3.8,42,37.1,74.4,78,5.4,47.5,5.7,110.1,35.4,40.9,49,47,3.815,1.612,9.926,20,0,113.1,110.1,134.5,96.5,5.3,6.1,50,0,100,80,56,56,48,54.95,61.47,58.53,57.57,71.92,94.77,-19.47
56.01,56.1,49.82,49.8,65.51,65.1,71.45,70.8,69.74,65.32,55.74,56.18,66.7,19.17,49.65,-2.127,55.76,53.33,3.963,1.533,269.7,215.9,7.8,3.6,42.1,37.1,74.4,78,5.5,47.7,5.7,109.8,35.7,40.9,49,47,4.157,1.773,9.926,20,0,113.1,110.1,132,94,5.5,6.3,50,0,100,80,56,56,48,54.95,61.64,58.53,57.53,68.82,95.07,-19.99
